Country Name,Year,Indicator Name,Value
Comoros,2020,Number of infant deaths,923
Comoros,2019,Number of infant deaths,938
Comoros,2018,Number of infant deaths,951
Comoros,2017,Number of infant deaths,967
Comoros,2016,Number of infant deaths,986
Comoros,2015,Number of infant deaths,1002
Comoros,2014,Number of infant deaths,1013
Comoros,2013,Number of infant deaths,1024
Comoros,2012,Number of infant deaths,1034
Comoros,2011,Number of infant deaths,1039
Comoros,2010,Number of infant deaths,1040
Comoros,2009,Number of infant deaths,1042
Comoros,2008,Number of infant deaths,1048
Comoros,2007,Number of infant deaths,1061
Comoros,2006,Number of infant deaths,1079
Comoros,2005,Number of infant deaths,1092
Comoros,2004,Number of infant deaths,1107
Comoros,2003,Number of infant deaths,1131
Comoros,2002,Number of infant deaths,1157
Comoros,2001,Number of infant deaths,1183
Comoros,2000,Number of infant deaths,1210
Comoros,1999,Number of infant deaths,1247
Comoros,1998,Number of infant deaths,1298
Comoros,1997,Number of infant deaths,1353
Comoros,1996,Number of infant deaths,1406
Comoros,1995,Number of infant deaths,1464
Comoros,1994,Number of infant deaths,1533
Comoros,1993,Number of infant deaths,1612
Comoros,1992,Number of infant deaths,1681
Comoros,1991,Number of infant deaths,1733
Comoros,1990,Number of infant deaths,1779
Comoros,1989,Number of infant deaths,1816
Comoros,1988,Number of infant deaths,1848
Comoros,1987,Number of infant deaths,1877
Comoros,1986,Number of infant deaths,1897
Comoros,1985,Number of infant deaths,1913
Comoros,1984,Number of infant deaths,1925
Comoros,1983,Number of infant deaths,1933
Comoros,1982,Number of infant deaths,1939
Comoros,1981,Number of infant deaths,1938
Comoros,1980,Number of infant deaths,1930
Comoros,2020,Number of under-five deaths,1037
Comoros,2019,Number of under-five deaths,1058
Comoros,2018,Number of under-five deaths,1078
Comoros,2017,Number of under-five deaths,1101
Comoros,2016,Number of under-five deaths,1125
Comoros,2015,Number of under-five deaths,1147
Comoros,2014,Number of under-five deaths,1163
Comoros,2013,Number of under-five deaths,1178
Comoros,2012,Number of under-five deaths,1193
Comoros,2011,Number of under-five deaths,1203
Comoros,2010,Number of under-five deaths,1209
Comoros,2009,Number of under-five deaths,1218
Comoros,2008,Number of under-five deaths,1232
Comoros,2007,Number of under-five deaths,1253
Comoros,2006,Number of under-five deaths,1279
Comoros,2005,Number of under-five deaths,1302
Comoros,2004,Number of under-five deaths,1327
Comoros,2003,Number of under-five deaths,1362
Comoros,2002,Number of under-five deaths,1402
Comoros,2001,Number of under-five deaths,1443
Comoros,2000,Number of under-five deaths,1487
Comoros,1999,Number of under-five deaths,1543
Comoros,1998,Number of under-five deaths,1614
Comoros,1997,Number of under-five deaths,1692
Comoros,1996,Number of under-five deaths,1770
Comoros,1995,Number of under-five deaths,1853
Comoros,1994,Number of under-five deaths,1948
Comoros,1993,Number of under-five deaths,2053
Comoros,1992,Number of under-five deaths,2146
Comoros,1991,Number of under-five deaths,2220
Comoros,1990,Number of under-five deaths,2287
Comoros,1989,Number of under-five deaths,2344
Comoros,1988,Number of under-five deaths,2394
Comoros,1987,Number of under-five deaths,2441
Comoros,1986,Number of under-five deaths,2479
Comoros,1985,Number of under-five deaths,2511
Comoros,1984,Number of under-five deaths,2539
Comoros,1983,Number of under-five deaths,2562
Comoros,1982,Number of under-five deaths,2582
Comoros,1981,Number of under-five deaths,2595
Comoros,1980,Number of under-five deaths,2599
Comoros,2020,Number of neonatal deaths,576
Comoros,2019,Number of neonatal deaths,584
Comoros,2018,Number of neonatal deaths,592
Comoros,2017,Number of neonatal deaths,599
Comoros,2016,Number of neonatal deaths,612
Comoros,2015,Number of neonatal deaths,623
Comoros,2014,Number of neonatal deaths,630
Comoros,2013,Number of neonatal deaths,638
Comoros,2012,Number of neonatal deaths,645
Comoros,2011,Number of neonatal deaths,649
Comoros,2010,Number of neonatal deaths,648
Comoros,2009,Number of neonatal deaths,644
Comoros,2008,Number of neonatal deaths,639
Comoros,2007,Number of neonatal deaths,639
Comoros,2006,Number of neonatal deaths,641
Comoros,2005,Number of neonatal deaths,642
Comoros,2004,Number of neonatal deaths,639
Comoros,2003,Number of neonatal deaths,641
Comoros,2002,Number of neonatal deaths,645
Comoros,2001,Number of neonatal deaths,651
Comoros,2000,Number of neonatal deaths,657
Comoros,1999,Number of neonatal deaths,664
Comoros,1998,Number of neonatal deaths,682
Comoros,1997,Number of neonatal deaths,704
Comoros,1996,Number of neonatal deaths,731
Comoros,1995,Number of neonatal deaths,757
Comoros,1994,Number of neonatal deaths,787
Comoros,1993,Number of neonatal deaths,830
Comoros,1992,Number of neonatal deaths,876
Comoros,1991,Number of neonatal deaths,914
Comoros,1990,Number of neonatal deaths,949
Comoros,1989,Number of neonatal deaths,983
Comoros,1988,Number of neonatal deaths,1014
Comoros,1987,Number of neonatal deaths,1045
Comoros,1986,Number of neonatal deaths,1073
Comoros,1985,Number of neonatal deaths,1098
Comoros,1984,Number of neonatal deaths,1119
Comoros,1983,Number of neonatal deaths,1135
Comoros,1982,Number of neonatal deaths,1150
Comoros,1981,Number of neonatal deaths,1156
Comoros,1980,Number of neonatal deaths,1156
